"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1977 - 12/2020"
"Unit of Measure:","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Kia | Mitsubishi | Scion | All Models | All Vehicle Years, 01/1977 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3817049"
"ColumnCount:",4
"RowCount:",528

"Time","All Types, Kia, All Models, All Vehicle Years, #","All Types, Mitsubishi, All Models, All Vehicle Years, #","All Types, Scion, All Models, All Vehicle Years, #"
"11/2012",58,53,1
"12/2012",56,41,1
"01/2013",44,34,
"02/2013",28,29,
"03/2013",42,30,2
"04/2013",39,29,1
"05/2013",35,23,2
"06/2013",39,32,
"07/2013",56,34,3
"08/2013",56,35,2
"09/2013",45,27,
"10/2013",52,23,2
"11/2013",43,31,1
"12/2013",50,41,1
"01/2014",53,26,3
"02/2014",30,27,2
"03/2014",39,26,2
"04/2014",53,36,1
"05/2014",38,29,3
"06/2014",35,33,2
"07/2014",52,31,
"08/2014",56,36,1
"09/2014",48,33,2
"10/2014",41,36,4
"11/2014",57,32,6
"12/2014",58,35,1
"01/2015",62,21,1
"02/2015",55,22,3
"03/2015",47,19,3
"04/2015",60,28,4
"05/2015",55,42,6
"06/2015",53,36,1
"07/2015",69,44,1
"08/2015",71,33,4
"09/2015",63,36,5
"10/2015",67,43,1
"11/2015",60,29,2
"12/2015",64,36,5
"01/2016",51,27,
"02/2016",67,25,4
"03/2016",67,32,9
"04/2016",67,29,1
"05/2016",74,35,4
"06/2016",77,38,7
"07/2016",68,31,1
"08/2016",69,29,3
"09/2016",74,39,6
"10/2016",77,30,8
"11/2016",80,33,8
"12/2016",83,36,3
"01/2017",69,22,4
"02/2017",75,29,1
"03/2017",76,32,4
"04/2017",79,32,7
"05/2017",78,39,7
"06/2017",64,33,5
"07/2017",78,33,7
"08/2017",73,31,2
"09/2017",99,28,4
"10/2017",83,30,3
"11/2017",81,18,4
"12/2017",71,32,3
"01/2018",64,26,5
"02/2018",68,16,3
"03/2018",76,33,3
"04/2018",76,21,5
"05/2018",90,23,3
"06/2018",83,25,
"07/2018",75,30,5
"08/2018",90,26,3
"09/2018",62,46,2
"10/2018",97,36,5
"11/2018",88,27,8
"12/2018",74,22,
"01/2019",81,21,3
"02/2019",78,21,3
"03/2019",75,34,5
"04/2019",89,24,7
"05/2019",80,18,4
"06/2019",76,26,1
"07/2019",76,27,6
"08/2019",90,30,1
